num,x,y,temp,RGB
0,0.108915033717,0.0520336706463,19.0,#787879
1,0.109042982508,0.0535248183495,19.0,#787879
2,0.108219114582,0.0519685137698,19.0,#787879
3,0.110564534234,0.0516336635339,19.0,#78787A
4,0.109247268558,0.0511729496735,19.0,#78787A
